word,frequency
nora,693
helmer,333
mr,254
lind,225
krogstad,159
rank,148
torvald,120
go,117
must,108
come,107
think,101
know,100
littl,95
one,95
thing,93
look,87
dont,82
tell,80
well,80
would,79
door,77
take,68
shall,63
see,62
say,60
like,59
never,58
child,56
husband,55
want,54
mean,53
put,50
room,50
doctor,48
christin,48
someth,48
get,47
realli,46
let,46
dear,46
man,46
money,45
oh,45
quit,45
anyth,45
goe,44
good,43
make,43
could,42
understand,40
cant,39
time,38
life,37
way,35
noth,35
letter,34
thought,34
u,34
hand,34
love,33
much,33
right,33
give,33
hall,32
open,31
back,31
sit,30
cours,30
maid,30
father,30
may,29
even,29
use,28
home,28
suppos,28
play,27
happen,27
nurs,27
believ,27
away,27
dress,25
help,25
stand,25
sure,24
two,24
ask,24
long,24
talk,24
shut,23
matter,23
everyth,23
soon,23
first,23
need,23
wife,23
danc,22
work,22
wont,22
year,21
inde,21
save,21
seem,21
live,21
tri,21
thank,21
el,20
mother,20
christma,20
bank,20
mind,20
tabl,20
still,20
that,20
happi,19
care,19
heard,19
poor,19
kind,19
speak,19
turn,19
mustnt,18
call,18
longer,18
plea,18
left,18
day,18
didnt,18
feel,18
isnt,18
paper,18
busi,18
true,18
alway,18
great,18
hous,18
imposs,18
hear,17
wonder,17
sort,17
moment,17
done,17
tomorrow,17
peopl,17
ought,17
anoth,17
couldnt,17
listen,17
keep,17
ah,17
gone,16
smile,16
whole,16
perhap,16
today,16
woman,15
papa,15
find,15
sake,15
last,15
told,15
arm,15
got,15
came,14
voic,14
everi,14
three,14
lie,14
tree,14
bring,14
anyon,14
mani,14
idea,14
end,14
world,13
abl,13
bit,13
might,13
without,13
round,13
new,13
upon,13
tremend,13
certain,13
ill,13
necessari,13
stove,13
nice,13
darl,13
absolut,13
lot,13
short,13
wait,12
leav,12
afraid,12
friend,12
posit,12
possibl,12
alon,12
sweet,12
besid,12
promis,12
reason,12
better,12
head,12
read,12
often,11
free,11
togeth,11
big,11
manag,11
someon,11
said,11
late,11
made,11
pay,11
nil,11
old,11
die,11
horribl,11
wish,11
small,11
taken,11
walk,11
doll,11
almost,10
tonight,10
sofa,10
rememb,10
laugh,10
doorway,10
sinc,10
natur,10
differ,10
hide,10
cannot,10
run,10
begin,10
stop,10
havent,10
place,10
piec,10
name,10
whisper,10
assur,10
town,10
certainli,10
duti,9
goodby,9
hope,9
box,9
knew,9
oblig,9
cloak,9
courag,9
gave,9
hat,9
hard,9
throw,9
mine,9
chang,9
bond,9
beauti,9
yesterday,9
step,9
hour,9
least,9
fun,9
maam,9
skylark,9
part,9
law,8
hush,8
dread,8
bad,8
cold,8
excus,8
goodnight,8
light,8
case,8
either,8
ever,8
shawl,8
becom,8
forgotten,8
eye,8
borrow,8
best,8
frighten,8
tear,8
secret,8
face,8
act,8
death,8
expect,8
delight,8
pocket,8
influenc,8
post,8
tarantella,8
toward,8
letterbox,8
side,8
order,8
prevent,8
altogeth,8
beg,8
imagin,7
easi,7
hold,7
fellow,7
ann,7
hundr,7
chair,7
enough,7
far,7
paus,7
nonsens,7
sen,7
found,7
learn,7
alreadi,7
rise,7
exactli,7
concern,7
bell,7
afterward,7
notic,7
yet,7
suffer,7
enter,7
condit,7
wit,7
ugli,7
moral,7
splendid,7
near,7
show,7
macaroon,7
went,7
lawyer,7
coat,7
allow,7
morn,7
silli,6
empti,6
sew,6
pound,6
helen,6
everyday,6
quick,6
piano,6
eight,6
ebook,6
forgiven,6
