word,frequency
லிண்டே,148
நீங்கள்,135
என்,126
எனக்கு,108
நோரா,105
வேண்டும்,82
அவர்,82
டோர்வால்ட்,73
ஆமாம்,63
நீங்க,57
அதை,55
இப்போது,54
உன்,47
என்னை,45
உங்களுக்கு,45
தெரியும்,40
ஏதாவது,37
சரி,37
ஆமா,37
பற்றி,36
முடியாது,36
ஓ,35
எவ்வளவு,34
சிறிய,34
இல்லையா,34
கிறிஸ்டின்,33
செய்ய,33
உனக்கு,32
கூடாது,32
ரொம்ப,31
அதைப்,30
எனக்குத்,30
இங்கே,30
ரேங்க்,30
கொஞ்சம்,29
சொல்ல,29
இருக்க,29
இவ்வளவு,28
உன்னை,28
ஒருபோதும்,28
என்பது,26
முடியும்,26
எதுவும்,26
அப்படித்தான்,26
விஷயம்,25
டாக்டர்,25
எல்லாம்,24
நிச்சயமாக,24
போல,24
நாம்,23
நல்ல,23
உள்ளே,23
எனக்குப்,22
ஹெல்மர்,22
வெளியே,22
அவளை,21
அன்பான,21
அப்படி,21
ஆனா,21
அதைச்,20
பிறகு,20
இருக்கு,20
என்னால்,20
மீண்டும்,20
இப்போ,20
நேரம்,20
கொள்ள,20
உண்மையிலேயே,19
பணம்,19
திருமதி,19
நினைக்கிறேன்,19
என்பதை,19
ஏன்,19
எந்த,18
பார்த்து,18
இன்னும்,18
எதையும்,17
தன்,17
நாங்கள்,17
தனது,17
அவரது,17
வேறு,17
விட,17
சொல்றீங்க,16
கடிதம்,16
அல்லது,16
கொண்டு,16
உனக்குத்,16
தெரியுமா,15
பெரிய,15
நீங்களும்,15
வா,15
வரை,15
என்னைப்,15
கதவை,15
எப்போதும்,15
சென்று,14
நன்றி,14
முடியவில்லை,14
தெரியாது,14
உங்களுக்குத்,14
அங்கே,14
வேண்டாம்,14
மாட்டேன்,13
பார்க்க,13
கிறிஸ்துமஸ்,13
அப்படிச்,13
உங்களை,13
நானும்,13
மணி,13
நிறைய,13
உங்க,13
வீட்டில்,13
உங்களிடம்,13
மட்டுமே,13
இனி,13
அவரை,13
அன்பே,13
ஆ,12
இருப்பது,12
ஒருவேளை,12
பத்தி,12
பின்னர்,12
செல்கிறார்,12
அதுதான்,12
அவருக்கு,12
அற்புதமான,12
உண்மையில்,12
போலவே,12
புரிகிறது,12
கதவைத்,12
பொம்மை,12
கதவு,12
விரும்புகிறேன்,11
எனக்காக,11
உங்களுக்குச்,11
சொல்கிறேன்,11
அறைக்குள்,11
இல்லாமல்,11
நில்ஸ்,11
இதோ,11
என்னிடம்,11
புரிந்து,11
முற்றிலும்,11
இருக்கலாம்,11
நாம,11
ஏதோ,11
அழகான,11
தெரியவில்லை,10
முன்பு,10
அவ்வளவு,10
எல்லா,10
கடன்,10
